drop_sector,ra_lo,ra_hi,N,D_geo,D_obs,mu_null,sigma_null,z_score,D_phys,angle_geo_obs_deg
0,0.0,45.0,188326,0.6820416879627723,0.696839222256394,0.6820507670123586,0.0005415352895478889,27.308386968431765,0.01773566390685729,0.812556133015956
1,45.0,90.0,196303,0.6205865670483013,0.6381410915207552,0.6205884223413071,0.0006488357464967392,27.05256187597596,0.02106235595659595,1.0596860960440275
2,90.0,135.0,179531,0.6049104589848606,0.6357502827178665,0.6048511938021495,0.00075687117838268,40.8247662194559,0.0356239094201966,1.647557603755112
3,135.0,180.0,145453,0.5380326034089902,0.5734206639722279,0.5380511791414251,0.000836918864243157,42.261545702865924,0.04091655446264389,2.1187769127747766
4,180.0,225.0,139243,0.4865931562788158,0.5170322424648492,0.4865763497766444,0.0008306112222845421,36.6668446935233,0.0378426026827998,2.5685518647102983
5,225.0,270.0,161893,0.5969354888666779,0.6274369299733814,0.5969246860935002,0.0008142960962459916,37.47069895158098,0.03566144901600405,1.72990720603077
6,270.0,315.0,199381,0.6015175301498694,0.6264652177316088,0.6015486109672058,0.0006366922858184631,39.134456815937206,0.029065369456141334,1.3919911100912734
7,315.0,360.0,189870,0.6660369020443435,0.688465932472426,0.6660878408522936,0.0005673283478462088,39.44469142973045,0.026435240953501696,1.1838660928171372
