null_model,mu_null,sigma_null,z_score
shuffle_ra,0.6194372963261994,0.000551003813096968,8.238093762979567
shuffle_dec,0.6385957923574254,0.00021672867022375555,-67.45427330902105
shuffle_mass_within_zbins,0.5977192029711041,0.000595887716873125,44.0641981494946
