trim,N,D_geo,D_obs,mu_null,sigma_null,z_score,D_phys
none,200000,0.598250641633522,0.6239765174022515,0.5982539375943763,0.000645808930608828,39.830015641972544,0.029777142922579096
drop_top_1.00pct,198000,0.5980202224190243,0.6240285994779556,0.598037105237687,0.0006373760485309329,40.7789001487827,0.030067276586929138
drop_top_0.50pct,199000,0.5981212921769784,0.6239717182857762,0.5981275294090924,0.0006780296283905637,38.116606995523306,0.02989590079260218
drop_top_0.10pct,199800,0.5982122880012103,0.6239480442028885,0.5982085223667954,0.0006355876081340666,40.49720527380664,0.02976530819771651
