hemi,N,D_geo,D_obs,mu_null,sigma_null,z_score,D_phys,angle_geo_obs_deg
plus,35784,0.5237621224772547,0.5508337657909278,0.5241805788468826,0.007318065578570748,3.642108239927888,0.03198881500450251,1.8178984559194342
minus,33547,0.4560325186038595,0.43463449074151145,0.4562465771041362,0.005614591367230315,-3.849271469472231,0.0298585930710185,2.680259887555221
