drop_sector,ra_lo,ra_hi,N,D_geo,D_obs,mu_null,sigma_null,z_score,D_phys,angle_geo_obs_deg
0,0.0,45.0,61655,0.14623112837139313,0.17589128552164668,0.14666964415302272,0.008365171208865298,3.4932508419738317,0.03265417246575629,4.881270494005735
1,45.0,90.0,61892,0.14170226684616702,0.16647727119839814,0.14259641496962155,0.008797923172298378,2.7143742632317087,0.033244382414203764,8.276500441192308
2,90.0,135.0,60385,0.13682185366732624,0.16191236745319793,0.13745440051110638,0.008808564025687705,2.7766122685566845,0.04292050288065048,13.435863928299387
3,135.0,180.0,60508,0.09637140045005656,0.0996177285546645,0.0971617622397442,0.008759621062599908,0.2803735797894614,0.040449168021097444,23.74648873340315
4,180.0,225.0,59955,0.07145979939645465,0.05344739916851831,0.0727325164978181,0.008022137833614315,-2.403987282354014,0.022507707524563096,12.537479666165737
5,225.0,270.0,59313,0.09447209606764102,0.10635830826547378,0.09580598034403022,0.008366760747344767,1.26122023087518,0.04229511168576362,23.362706374982917
6,270.0,315.0,60337,0.11842041789969138,0.1368561555994987,0.11916227927793957,0.008615330169351535,2.053766480651424,0.04182874893738981,16.9604651913154
7,315.0,360.0,61272,0.1338020014177475,0.15968312481520913,0.1341174785371361,0.008807184274884566,2.9028172319476213,0.035462216732846975,9.513757939582481
