trim,N,D_geo,D_obs,mu_null,sigma_null,z_score,D_phys
none,200000,0.598250641633522,0.6278694098669455,0.5982296847872445,0.0015141718733657588,19.57487495380344,0.03542802021299451
drop_top_1.00pct,198000,0.5980202224190243,0.6282778722194674,0.5980458258723578,0.0012426001205510533,24.329666356142546,0.0354292616475767
drop_top_0.50pct,199000,0.5981212921769784,0.6279244299236392,0.5981588368685151,0.0013824539695211037,21.530983100605628,0.03498786956210469
drop_top_0.10pct,199800,0.5982122880012103,0.6276281574495816,0.598172559984458,0.0013577378733420637,21.694612814046963,0.03455774820345262
