drop_sector,ra_lo,ra_hi,N,D_geo,D_obs,mu_null,sigma_null,z_score,D_phys,angle_geo_obs_deg
0,0.0,45.0,188326,0.6820416879627723,0.6973466436348663,0.6820427873331592,0.0012335341293243996,12.40651226252573,0.020062063502223223,1.0776306690379711
1,45.0,90.0,196303,0.6205865670483013,0.6398327333305492,0.6206095270764224,0.0015035478178323611,12.785231055597981,0.024224102973895958,1.33757742848191
2,90.0,135.0,179531,0.6049104589848606,0.6415464983121254,0.6048406789650005,0.0017045113515389684,21.53451152671056,0.04444821851925468,2.314978322053064
3,135.0,180.0,145453,0.5380326034089902,0.5806670342637879,0.5380825667563206,0.0019063907672538067,22.337743257543682,0.05015716184746776,2.70855257943511
4,180.0,225.0,139243,0.4865931562788158,0.5212914387714505,0.4865578472544207,0.001824691481237005,19.035322888383835,0.04401163301838906,3.080486745401609
5,225.0,270.0,161893,0.5969354888666779,0.631885210170349,0.5969227476517528,0.0019336911262223674,18.08068622981088,0.04185854087069094,2.1491720970486967
6,270.0,315.0,199381,0.6015175301498694,0.6301903856846762,0.6015691486913417,0.0015158364377782297,18.88148106222122,0.034629660270945585,1.8071648508976232
7,315.0,360.0,189870,0.6660369020443435,0.6928955101490607,0.6661702853405911,0.0012445593804226278,21.47364378820901,0.03281067151473074,1.5895079767502795
