mode,N,zmin,zmax,D_geo,D_obs,mu_null,sigma_null,zscore,delta,dataset,observer_seed
mass,69331,0.0,0.06,0.0107862387422593,0.026156151718101095,0.017206121114828565,0.0066853095484,1.3387608364992682,0.00895003060327253,TNG300,2
rankmass,69331,0.0,0.06,0.0107862387422593,0.013575948345564439,0.010923305769600933,0.0012566887484313316,2.1108190705731085,0.0026526425759635062,TNG300,2
mass,69331,0.0,0.06,0.05805869654003413,0.10462039045369537,0.059605608611063954,0.008720033049381817,5.16222605897378,0.04501478184263141,TNG300,3
rankmass,69331,0.0,0.06,0.05805869654003413,0.06768341737714462,0.05805245178506906,0.0012973847075754032,7.423369133180421,0.009630965592075554,TNG300,3
mass,69331,0.0,0.06,0.051184324985715124,0.08563197909804407,0.05271815780596573,0.008839790356257681,3.7233712526653604,0.03291382129207834,TNG300,4
rankmass,69331,0.0,0.06,0.051184324985715124,0.057359322735586166,0.05119611161837632,0.0012986329841390275,4.745922206262115,0.006163211117209848,TNG300,4
mass,69331,0.0,0.06,0.03428020690814146,0.06139231017618793,0.036118871860780104,0.008625973408737771,2.9299230495896067,0.025273438315407827,TNG300,5
rankmass,69331,0.0,0.06,0.03428020690814146,0.037644570996245776,0.03432317308663074,0.0012346605151290861,2.6901305005836154,0.003321397909615033,TNG300,5
mass,69331,0.0,0.06,0.04797435105758218,0.08307273248048849,0.04948074020600762,0.008453389488231074,3.9737897231930583,0.03359199227448087,TNG300,6
rankmass,69331,0.0,0.06,0.04797435105758218,0.05504153535608796,0.048010471215884976,0.001239969451677326,5.670352709650995,0.007031064140202985,TNG300,6
mass,69331,0.0,0.06,0.05177766751995061,0.09600112506923963,0.05329439569955475,0.008582523628401475,4.976010695544006,0.042706729369684886,TNG300,7
rankmass,69331,0.0,0.06,0.05177766751995061,0.06108020722935453,0.05183279061898625,0.0013086802309558799,7.066215559483031,0.009247416610368285,TNG300,7
mass,69331,0.0,0.06,0.03929129438582409,0.07464801691976283,0.0414269805962813,0.008638130347902931,3.8458595767250223,0.033221036323481536,TNG300,8
rankmass,69331,0.0,0.06,0.03929129438582409,0.04603104562175746,0.03931359981139055,0.0012989928259698642,5.171272447445178,0.006717445810366908,TNG300,8
mass,69331,0.0,0.06,0.03279184330437136,0.05550303676820445,0.03532236833655479,0.008659065834813216,2.330582630578299,0.02018066843164966,TNG300,9
rankmass,69331,0.0,0.06,0.03279184330437136,0.03588168132903782,0.03283751894591799,0.0013064184177666949,2.3301588080209297,0.0030441623831198306,TNG300,9
mass,69331,0.0,0.06,0.048458768866398765,0.08327150538590702,0.04988835144456563,0.008848359541358064,3.77280712716356,0.03338315394134139,TNG300,10
rankmass,69331,0.0,0.06,0.048458768866398765,0.05491297495535991,0.04849968476827079,0.0012979720854097354,4.941007791446161,0.006413290187089124,TNG300,10
mass,69331,0.0,0.06,0.05592317462866781,0.09714552067690486,0.05756211910796598,0.00865697813899142,4.572427114105031,0.039583401568938886,TNG300,11
rankmass,69331,0.0,0.06,0.05592317462866781,0.06466241950150513,0.05593530904449671,0.001227271482235019,7.110986104814586,0.00872711045700842,TNG300,11
mass,69331,0.0,0.06,0.02332021134158828,0.043531444873246936,0.02662181026657506,0.008133817547688172,2.0789296671005366,0.016909634606671876,TNG300,12
rankmass,69331,0.0,0.06,0.02332021134158828,0.028598148243921744,0.023377995919914553,0.001274748033886092,4.095046381906128,0.005220152324007191,TNG300,12
mass,69331,0.0,0.06,0.023922956537639213,0.03563326900188864,0.027280991034271136,0.008340270839985741,1.0014396568003756,0.008352277967617502,TNG300,13
rankmass,69331,0.0,0.06,0.023922956537639213,0.025164970997996125,0.023994179203496366,0.0012988564935169512,0.901401964222831,0.0011707917944997585,TNG300,13
mass,69331,0.0,0.06,0.027967204032879917,0.04567120735711296,0.030801845716474142,0.008342493443262875,1.7823641986373786,0.01486936164063882,TNG300,14
rankmass,69331,0.0,0.06,0.027967204032879917,0.031251838482158276,0.028008646887194115,0.001288861778388724,2.5163222692650957,0.0032431915949641607,TNG300,14
mass,69331,0.0,0.06,0.06041091601287075,0.10830164404257672,0.061715602773132504,0.008845898993487965,5.266399865490121,0.04658604126944422,TNG300,15
rankmass,69331,0.0,0.06,0.06041091601287075,0.07071595195456641,0.06046502036949228,0.0012897404512432172,7.948057746962166,0.010250931585074133,TNG300,15
mass,69331,0.0,0.06,0.05814959654969257,0.09979777317713329,0.05907869089772098,0.00885581356484611,4.598005816320491,0.04071908227941231,TNG300,16
rankmass,69331,0.0,0.06,0.05814959654969257,0.06577742634681868,0.05816041752826681,0.0012800550378216735,5.950532276732472,0.007617008818551874,TNG300,16
mass,69331,0.0,0.06,0.04170718722222931,0.07281587255893972,0.04363274221966911,0.008901621562861537,3.2784060896304075,0.029183130339270606,TNG300,17
rankmass,69331,0.0,0.06,0.04170718722222931,0.04757290677960204,0.04175576602235962,0.0012689157415868967,4.5843396583350335,0.00581714075724242,TNG300,17
mass,69331,0.0,0.06,0.033438527683805855,0.06726396756577017,0.035462565751348256,0.0084964946630073,3.7428849279316725,0.03180140181442192,TNG300,18
rankmass,69331,0.0,0.06,0.033438527683805855,0.04065826448802818,0.033495689068920836,0.0012444524296594754,5.755604029852124,0.0071625754191073435,TNG300,18
mass,69331,0.0,0.06,0.03597767875451986,0.07018689959248463,0.03772123182456898,0.00868650921649954,3.737481531274832,0.032465667767915644,TNG300,19
rankmass,69331,0.0,0.06,0.03597767875451986,0.042318182285696296,0.03600254556198185,0.0012602953557274534,5.0112354179620135,0.006315636723714449,TNG300,19
