label,weight_mode,N,d_geo,ra_geo,dec_geo,d_obs,ra_obs,dec_obs,angle_deg,mu_null,sigma_null,delta,z
SDSS,mass,75844,0.5898645407764435,188.6783850249774,39.697302090078914,0.611758612967067,190.64331249009314,38.938522661595485,1.6989443114794476,0.5898999001741801,0.0032972545613882895,0.02185871279288687,6.6293676711704626
SDSS,rankmass,75844,0.5898645407764435,188.6783850249774,39.697302090078914,0.611049290075527,189.6895072402455,38.972844149563485,1.0660291514648532,0.5898763573044048,0.0010708050346871553,0.0211729327711222,19.772911113840674
TNG50,mass,0,,,,,,,,,,,
TNG50,rankmass,0,,,,,,,,,,,
TNG300,mass,62670,0.051301463367631646,222.52391590669762,39.88230830897942,0.09179332032192408,216.327812306702,41.19060536933561,4.8861071320846445,0.053010807284716265,0.009287724872367144,0.03878251303720782,4.175674190413803
TNG300,rankmass,62670,0.051301463367631646,222.52391590669762,39.88230830897942,0.05843850407136273,220.88917023241171,39.54608756584291,1.3016634002137502,0.05125310216456363,0.0013395560538543314,0.007185401906799102,5.364017344495888
